#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
  16900      5.41e-01    5.17e-01      3.89e-02    1.02e-01      1.86e-01    7.96e-02      1.07e-01    1.46e-01    1.8e-07
  17000      6.80e-01    1.23e+00      6.25e-02    9.60e-03      1.16e-01    2.19e-01      1.67e-01    2.16e-01    1.7e-07
  17100      8.09e-01    4.15e-01      9.36e-03    6.27e-03      1.78e-01    1.55e-01      1.58e-01    6.29e-02    1.6e-07
  17200      8.40e-01    7.76e-01      2.70e-02    5.98e-02      1.89e-01    2.04e-01      1.73e-01    1.69e-01    1.5e-07
  17300      8.01e-01    1.11e+00      3.35e-02    1.01e-02      1.86e-01    2.45e-01      1.51e-01    1.90e-01    1.5e-07
  17400      7.75e-01    1.27e+00      6.91e-02    8.92e-03      1.14e-01    2.26e-01      1.85e-01    2.23e-01    1.4e-07
  17500      4.75e-01    1.20e+00      2.27e-02    5.24e-03      1.26e-01    1.62e-01      1.00e-01    2.15e-01    1.3e-07
  17600      9.95e-01    6.43e-01      1.51e-02    3.74e-02      1.87e-01    7.22e-02      2.10e-01    2.21e-01    1.3e-07
  17700      5.22e-01    8.48e-01      8.50e-02    1.59e-02      1.01e-01    2.18e-01      1.16e-01    1.96e-01    1.2e-07
  17800      7.94e-01    5.99e-01      7.21e-02    4.83e-03      1.62e-01    2.02e-01      1.89e-01    1.30e-01    1.1e-07
  17900      1.17e+00    3.53e-01      1.37e-02    1.06e-01      2.12e-01    9.86e-03      2.15e-01    6.57e-02    1.1e-07
  18000      1.07e+00    5.20e-01      1.95e-02    3.64e-03      2.19e-01    1.92e-01      1.92e-01    1.10e-01    1.0e-07
  18100      9.16e-01    5.44e-01      1.71e-02    5.37e-02      1.64e-01    1.76e-01      1.65e-01    1.08e-01    9.7e-08
  18200      7.16e-01    7.56e-01      7.51e-03    5.29e-03      1.75e-01    1.59e-01      1.45e-01    1.31e-01    9.2e-08
  18300      9.92e-01    9.24e-01      1.82e-02    7.44e-03      2.14e-01    1.34e-01      1.81e-01    1.65e-01    8.8e-08
  18400      1.00e+00    9.17e-01      3.39e-02    8.74e-03      2.04e-01    1.79e-01      1.88e-01    1.60e-01    8.3e-08
  18500      9.02e-01    3.83e-01      2.97e-02    1.09e-01      1.49e-01    1.76e-02      1.92e-01    7.98e-02    7.9e-08
  18600      7.93e-01    6.97e-01      1.87e-02    4.82e-03      2.29e-01    1.47e-01      1.73e-01    1.21e-01    7.5e-08
  18700      4.27e-01    5.09e-01      3.65e-02    1.23e-01      1.41e-01    3.04e-02      7.75e-02    1.31e-01    7.2e-08
  18800      7.34e-01    9.75e-01      3.00e-02    6.17e-02      1.87e-01    2.37e-01      1.65e-01    2.20e-01    6.8e-08
  18900      1.07e+00    6.26e-01      2.09e-02    1.21e-01      1.64e-01    5.72e-02      2.27e-01    1.83e-01    6.5e-08
  19000      5.54e-01    9.92e-01      4.78e-02    7.43e-03      1.63e-01    1.49e-01      1.19e-01    1.77e-01    6.1e-08
  19100      5.88e-01    1.11e+00      1.58e-02    6.90e-03      1.60e-01    1.61e-01      1.05e-01    1.98e-01    5.8e-08
  19200      8.51e-01    8.33e-01      1.78e-02    1.19e-02      1.86e-01    2.02e-01      1.53e-01    1.95e-01    5.5e-08
  19300      9.89e-01    4.17e-01      1.95e-02    6.30e-03      1.89e-01    1.78e-01      1.72e-01    5.99e-02    5.3e-08
  19400      8.85e-01    1.31e+00      2.32e-02    9.08e-03      1.79e-01    2.42e-01      1.79e-01    2.30e-01    5.0e-08
  19500      9.51e-01    4.94e-01      3.78e-02    5.19e-02      2.11e-01    2.09e-01      1.74e-01    8.33e-02    4.8e-08
  19600      1.16e+00    4.46e-01      1.44e-02    1.22e-01      2.12e-01    2.80e-02      2.18e-01    9.91e-02    4.5e-08
  19700      6.32e-01    5.40e-01      3.44e-02    8.42e-03      1.77e-01    2.16e-01      1.37e-01    1.10e-01    4.3e-08
  19800      7.11e-01    1.29e+00      4.94e-03    6.55e-03      1.40e-01    2.08e-01      1.24e-01    2.29e-01    3.9e-08
  19900      1.09e+00    5.59e-01      1.86e-02    6.97e-03      1.85e-01    1.97e-01      1.98e-01    1.21e-01    3.7e-08
  20000      1.10e+00    6.22e-01      1.53e-02    4.77e-03      2.09e-01    2.04e-01      2.13e-01    1.37e-01    3.5e-08
